supplier_name,trust_score,rating,product_name,category,price_thb,weight_kg,moq,url
F D & A Inter Co. Ltd.,79,3.95,Copper Cathode,metal,342.88,18.73,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
F D & A Inter Co. Ltd.,79,3.95,Aluminium Scrap,metal,101.06,14.45,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
F D & A Inter Co. Ltd.,79,3.95,Aluminium Ingots,metal,171.26,17.44,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
F D & A Inter Co. Ltd.,79,3.95,Sunflower Oil,food,122.68,1.94,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
F D & A Inter Co. Ltd.,79,3.95,Coconut Oil,food,136.21,0.5,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
F D & A Inter Co. Ltd.,79,3.95,Olive Oil,food,140.94,1.87,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
F D & A Inter Co. Ltd.,79,3.95,Soybean Oil,food,188.28,0.9,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
F D & A Inter Co. Ltd.,79,3.95,Palm Oil,food,93.82,0.68,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
F D & A Inter Co. Ltd.,79,3.95,Jasmin Rice,food,91.74,1.77,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
F D & A Inter Co. Ltd.,79,3.95,Brown Rice,food,79.06,1.53,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
F D & A Inter Co. Ltd.,79,3.95,Home Mali Rice,food,127.18,1.57,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
F D & A Inter Co. Ltd.,79,3.95,Sugar,food,61.35,0.79,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
F D & A Inter Co. Ltd.,79,3.95,Brown Sugar,food,179.24,1.64,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
F D & A Inter Co. Ltd.,79,3.95,Red Kidney Beans,food,79.38,1.49,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
F D & A Inter Co. Ltd.,79,3.95,Black Beans,food,140.0,1.82,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
F D & A Inter Co. Ltd.,79,3.95,Shrimp,food,126.55,1.25,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
F D & A Inter Co. Ltd.,79,3.95,Tilapia Fish,food,76.36,0.73,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
F D & A Inter Co. Ltd.,79,3.95,Crabs,food,97.15,1.99,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
F D & A Inter Co. Ltd.,79,3.95,Wires & Cables,metal,101.33,18.09,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
F D & A Inter Co. Ltd.,79,3.95,Organic Essential Oils,food,121.36,1.03,1,https://eximnext.com/supplier/f-d-&-a-inter-co-ltd
Suwancham Dairy Ltd,79,3.95,Lucozade Energy Drink Orange,beverage,81.38,0.9,1,https://eximnext.com/supplier/suwancham-dairy-ltd
Suwancham Dairy Ltd,79,3.95,Natural Power Energy Drink,beverage,45.16,0.67,1,https://eximnext.com/supplier/suwancham-dairy-ltd
Suwancham Dairy Ltd,79,3.95,Sweetened Condensed Milk,food,67.75,1.34,1,https://eximnext.com/supplier/suwancham-dairy-ltd
Suwancham Dairy Ltd,79,3.95,Kidney Beans,food,140.08,0.77,1,https://eximnext.com/supplier/suwancham-dairy-ltd
Suwancham Dairy Ltd,79,3.95,Sunflower Oil,food,64.18,1.18,1,https://eximnext.com/supplier/suwancham-dairy-ltd
Suwancham Dairy Ltd,79,3.95,Pimple and Whitening Soap,consumer,61.01,0.5,1,https://eximnext.com/supplier/suwancham-dairy-ltd
Suwancham Dairy Ltd,79,3.95,White and Yellow Corn,food,52.75,0.55,1,https://eximnext.com/supplier/suwancham-dairy-ltd
Suwancham Dairy Ltd,79,3.95,Refind White dust and Crystal Sugar,food,53.22,1.55,1,https://eximnext.com/supplier/suwancham-dairy-ltd
Suwancham Dairy Ltd,79,3.95,A4 Copy Paper,consumer,23.43,0.71,1,https://eximnext.com/supplier/suwancham-dairy-ltd
